101,4,0,1.47,-1498.83
101,5,1,1.38,-1497.45
101,5,0,5.11,-1492.34
101,4,0,1.8,-1490.54
101,3,1,2.07,-1488.47
101,5,0,5.02,-1483.45
101,4,0,1.84,-1481.61
101,4,0,1.4,-1480.21
101,5,1,1.56,-1478.65
101,4,0,3.9,-1474.75
101,3,1,1.83,-1472.92
101,5,0,6.97,-1465.95
101,4,0,1.89,-1464.06
101,4,0,1.76,-1462.3
101,3,0,1.79,-1460.51
101,2,1,1.4,-1459.11
101,5,1,4.54,-1454.57
101,4,1,7.57,-1447
101,5,0,6.31,-1440.69
101,4,0,1.58,-1439.11
101,4,0,2.26,-1436.85
101,3,0,2,-1434.85
101,2,0,1.37,-1433.48
101,5,1,1.98,-1431.5
101,4,1,6.07,-1425.43
101,5,0,4.9,-1420.53
101,4,1,2.18,-1418.35
101,4,0,3.48,-1414.87
101,3,0,2.15,-1412.72
101,2,0,1.45,-1411.27
101,5,0,2.11,-1409.16
101,4,0,2.47,-1406.69
101,4,0,1.76,-1404.93
101,5,1,2.34,-1402.59
101,4,0,6.63,-1395.96
101,5,0,2.46,-1393.5
101,2,1,2.18,-1391.32
101,5,0,5.58,-1385.74
101,4,0,1.68,-1384.06
101,4,0,1.12,-1382.94
101,3,0,1.77,-1381.17
101,2,0,1.82,-1379.35
101,5,1,2.07,-1377.28
101,4,0,5.51,-1371.77
101,5,1,1.46,-1370.31
101,4,0,6.67,-1363.64
101,5,1,1.43,-1362.21
101,4,1,5.17,-1357.04
101,5,1,7.7,-1349.34
101,4,0,8.14,-1341.2
101,5,0,1.32,-1339.88
101,2,0,2.54,-1337.34
101,3,1,1.54,-1335.8
101,4,0,3.69,-1332.11
101,5,1,2.38,-1329.73
101,4,0,4.03,-1325.7
101,4,0,1.05,-1324.65
101,3,0,1.73,-1322.92
101,2,0,1.56,-1321.36
101,5,0,2.1,-1319.26
101,4,0,2.6,-1316.66
101,5,1,1.58,-1315.08
101,4,0,8.33,-1306.75
101,3,1,2.32,-1304.43
101,5,0,3.89,-1300.54
101,4,0,1.68,-1298.86
101,3,0,3.42,-1295.44
